coin,trading,isLegalMoney,trade_fee,trade_symbol,profit,gained,times_it_sold,coin_status,initial_buy_price,initial_buy_cost,updated_price,out_price,estimated_cost,rebought_at,rebuy_cost
MBL,True,False,"[{'symbol': 'MBLUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MBLUSDT,-0.0018439460000000008,0.0,0,initialized,0.009886,9.886000000000002e-06,0.00806,8.059999999999999e-06,0.009903946,,
BNBUP,True,False,"[{'symbol': 'BNBUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BNBUPUSDT,-68.24056000000002,2.2034900000001016,7,rebought,361.13,0.36113,256.45,0.25645,324.69056,324.11,0.32411
SNX,True,False,"[{'symbol': 'SNXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SNXUSDT,-1.3749850000000006,0.11179899999999598,8,rebought,12.557,0.012557,10.316,0.010316,11.690985000000001,11.669,0.011669
LTCDOWN,True,False,"[{'symbol': 'LTCDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LTCDOWNUSDT,0.01353099999999996,0.0,1,sold,2.725,0.002725,3.803,0.003803,2.7304690000000003,,
FUN,True,False,"[{'symbol': 'FUNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FUNUSDT,-0.0025181999999999982,0.0,0,initialized,0.02034,2.034e-05,0.01786,1.7860000000000002e-05,0.0203782,,
COS,True,False,"[{'symbol': 'COSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",COSUSDT,-0.00477321,0.0,0,initialized,0.02397,2.3970000000000003e-05,0.01924,1.9240000000000002e-05,0.02401321,,
SUSHIUP,True,False,"[{'symbol': 'SUSHIUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SUSHIUPUSDT,-0.03542772,0.0,0,initialized,0.0915,9.15e-05,0.05622,5.622e-05,0.09164772,,
ROSE,True,False,"[{'symbol': 'ROSEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ROSEUSDT,-0.06376277,0.0,0,initialized,0.23806,0.00023806,0.17471,0.00017471,0.23847277,,
SOL,True,False,"[{'symbol': 'SOLUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SOLUSDT,-29.133980000000008,0.3383800000000008,6,rebought,161.66,0.16166,132.57,0.13257,161.70398,161.41,0.16141
TRXUP,True,False,"[{'symbol': 'TRXUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TRXUPUSDT,-0.14869568,0.010063519999999992,1,rebought,0.45275,0.00045275,0.30387,0.00030387,0.45256567999999997,0.45181,0.00045180999999999997
ETC,True,False,"[{'symbol': 'ETCUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ETCUSDT,-9.155010000000004,0.0,0,initialized,57.03,0.05703,47.98,0.047979999999999995,57.13501,,
BNB,True,False,"[{'symbol': 'BNBUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BNBUSDT,-31.356400000000008,0.5588999999997668,6,rebought,411.3,0.4113,362.9,0.3629,394.2564,393.5,0.3935
CELR,True,False,"[{'symbol': 'CELRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CELRUSDT,-0.03125452000000001,0.0,0,initialized,0.11279,0.00011279,0.08173,8.173e-05,0.11298452,,
OGN,True,False,"[{'symbol': 'OGNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",OGNUSDT,-0.23878290000000013,0.02143929999999994,2,rebought,1.0604,0.0010604,0.823,0.000823,1.0617829,1.0599,0.0010599000000000001
ETH,True,False,"[{'symbol': 'ETHUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ETHUSDT,-478.42065,0.0,0,initialized,3451.32,3.4513200000000004,2979.33,2.97933,3457.75065,,
NEO,True,False,"[{'symbol': 'NEOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NEOUSDT,-8.231099999999998,0.03132999999999697,2,rebought,49.62,0.04962,41.48,0.041479999999999996,49.711099999999995,49.62,0.04962
TOMO,True,False,"[{'symbol': 'TOMOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TOMOUSDT,-0.42723299999999953,0.0,0,initialized,2.328,0.0023279999999999,1.905,0.001905,2.3322329999999996,,
CELO,True,False,"[{'symbol': 'CELOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CELOUSDT,0.016468999999999845,0.06383600000000023,5,sold,5.265,0.005265,5.305,0.005305,5.262531,5.252,0.005252
KLAY,True,False,"[{'symbol': 'KLAYUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",KLAYUSDT,-0.21531100000000003,0.0,0,initialized,1.262,0.001262,1.049,0.001049,1.264311,,
BADGER,True,False,"[{'symbol': 'BADGERUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BADGERUSDT,-4.649829999999998,0.12799999999998946,7,rebought,22.26,0.02226,17.61,0.01761,22.259829999999997,22.22,0.02222
GXS,True,False,"[{'symbol': 'GXSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",GXSUSDT,-0.11138720000000013,0.0,0,initialized,0.7486,0.0007486,0.6386,0.0006385999999999999,0.7499872000000001,,
TRB,True,False,"[{'symbol': 'TRBUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TRBUSDT,-12.63615,0.03114999999999668,1,rebought,59.35,0.05935,46.81,0.046810000000000004,59.44615,59.34,0.059340000000000004
BNT,True,False,"[{'symbol': 'BNTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BNTUSDT,-0.5626169999999999,0.0,0,initialized,4.086,0.004086,3.531,0.0035310000000000003,4.093617,,
UTK,True,False,"[{'symbol': 'UTKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",UTKUSDT,-0.03721149999999995,0.010160400000000014,1,rebought,0.4143,0.0004143,0.3375,0.0003375,0.3747115,0.374,0.000374
TRU,True,False,"[{'symbol': 'TRUUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TRUUSDT,-0.11590669999999997,0.0,0,initialized,0.5608,0.0005608,0.4459,0.00044590000000000005,0.5618067,,
DREP,True,False,"[{'symbol': 'DREPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DREPUSDT,-0.13693279999999997,0.0,0,initialized,0.7342,0.0007342,0.5986,0.0005986,0.7355328,,
TRX,True,False,"[{'symbol': 'TRXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TRXUSDT,-0.014586950000000001,0.0,0,initialized,0.10567,0.00010567,0.09128,9.128000000000001e-05,0.10586695,,
MDT,True,False,"[{'symbol': 'MDTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MDTUSDT,-0.007312140000000002,0.0,0,initialized,0.03969,3.969e-05,0.03245,3.245e-05,0.03976214,,
MDX,True,False,"[{'symbol': 'MDXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MDXUSDT,-0.21696600000000021,0.0,0,initialized,1.59,0.00159,1.376,0.0013759999999999998,1.592966,,
XRPDOWN,True,False,"[{'symbol': 'XRPDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",XRPDOWNUSDT,0.0008816139999999997,0.0,0,initialized,0.00175,1.75e-06,0.002636,2.636e-06,0.0017543860000000001,,
NULS,True,False,"[{'symbol': 'NULSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NULSUSDT,-0.09998580000000001,0.021006799999999992,2,rebought,0.5426,0.0005426,0.4434,0.00044340000000000004,0.5433858,0.5424,0.0005424
AUTO,True,False,"[{'symbol': 'AUTOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",AUTOUSDT,-232.17680000000007,0.0,0,initialized,1203.4,1.2034,973.4,0.9734,1205.5768,,
EGLD,True,False,"[{'symbol': 'EGLDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",EGLDUSDT,-56.93850999999998,0.024169999999998026,1,rebought,242.66,0.24266,186.0,0.186,242.93850999999998,242.51,0.24251
PUNDIX,True,False,"[{'symbol': 'PUNDIXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",PUNDIXUSDT,-0.3720570000000001,0.0,0,initialized,1.713,0.001713,1.344,0.0013440000000000001,1.7160570000000002,,
CRV,True,False,"[{'symbol': 'CRVUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CRVUSDT,-0.3751700000000002,0.02358299999999991,2,rebought,2.846,0.002846,2.4,0.0024,2.77517,2.77,0.00277
BAKE,True,False,"[{'symbol': 'BAKEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BAKEUSDT,-0.37169600000000025,0.0,0,initialized,2.032,0.002032,1.664,0.001664,2.035696,,
ANT,True,False,"[{'symbol': 'ANTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ANTUSDT,-1.264735,0.07098299999999913,4,rebought,6.494,0.006494,5.241,0.005241,6.505735,6.494,0.006494
NU,True,False,"[{'symbol': 'NUUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NUUSDT,-0.060007599999999994,0.0,0,initialized,0.3335,0.0003335,0.2741,0.0002741,0.3341076,,
LINKUP,True,False,"[{'symbol': 'LINKUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LINKUPUSDT,-0.8030012999999998,0.047223700000000424,4,rebought,2.1536,0.0021536,1.3509,0.0013509,2.1539013,2.1504,0.0021504
SRM,True,False,"[{'symbol': 'SRMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SRMUSDT,-2.3585460000000005,0.05546000000000184,5,rebought,10.443,0.010443,8.103,0.008102999999999999,10.461546,10.443,0.010443
TORN,True,False,"[{'symbol': 'TORNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TORNUSDT,-10.05743000000001,0.6668599999999998,3,rebought,68.73,0.06873,58.75,0.058750000000000004,68.80743000000001,68.68,0.06868
QNT,True,False,"[{'symbol': 'QNTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",QNTUSDT,-76.74190000000004,5.350300000000004,8,rebought,359.0,0.359,282.9,0.2829,359.6419,359.0,0.359
ALICE,True,False,"[{'symbol': 'ALICEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ALICEUSDT,-3.0431399999999993,0.04139999999999944,3,rebought,13.08,0.01308,10.06,0.010060000000000001,13.10314,13.08,0.01308
OG,True,False,"[{'symbol': 'OGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",OGUSDT,-1.9522960000000005,0.011715999999999838,1,rebought,10.126,0.010126,8.181,0.008180999999999999,10.133296,10.115,0.010115
MFT,True,False,"[{'symbol': 'MFTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MFTUSDT,-0.0024527509999999995,0.0,0,initialized,0.012091,1.2091e-05,0.00966,9.66e-06,0.012112751,,
OM,True,False,"[{'symbol': 'OMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",OMUSDT,-0.05605769999999999,0.021649499999999988,2,rebought,0.3069,0.0003069,0.2511,0.0002511,0.3071577,0.3066,0.00030659999999999997
BUSD,True,False,"[{'symbol': 'BUSDUSDT', 'makerCommission': '0', 'takerCommission': '0'}]",BUSDUSDT,0.00019999999999997797,0.0,0,initialized,0.9999,0.0,1.0001,0.0,0.9999,,
CTK,True,False,"[{'symbol': 'CTKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CTKUSDT,-0.475792,0.010720999999999759,1,rebought,2.132,0.002132,1.66,0.00166,2.135792,2.132,0.002132
ARPA,True,False,"[{'symbol': 'ARPAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ARPAUSDT,-0.013310860000000008,0.0,0,initialized,0.08201,8.201e-05,0.06885,6.884999999999999e-05,0.08216086,,
DOTDOWN,True,False,"[{'symbol': 'DOTDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOTDOWNUSDT,0.00020586469999999996,0.0,0,initialized,0.0004142,4.142e-07,0.0006211,6.211e-07,0.0004152353,,
MATIC,True,False,"[{'symbol': 'MATICUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MATICUSDT,-0.24848399999999993,0.0,0,initialized,1.365,0.001365,1.119,0.001119,1.367484,,
IOTX,True,False,"[{'symbol': 'IOTXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",IOTXUSDT,-0.012925409999999998,0.0,0,initialized,0.06411,6.411000000000001e-05,0.0513,5.13e-05,0.06422541,,
SHIB,True,False,"[{'symbol': 'SHIBUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SHIBUSDT,-8.046300000000011e-07,0.0,0,initialized,7.71e-06,7.710000000000001e-09,6.92e-06,6.92e-09,7.724630000000001e-06,,
TVK,True,False,"[{'symbol': 'TVKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TVKUSDT,-0.06094250000000001,0.0,0,initialized,0.2515,0.0002515,0.191,0.000191,0.2519425,,
DOCK,True,False,"[{'symbol': 'DOCKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOCKUSDT,-0.013722600000000015,0.0,0,initialized,0.09807,9.807e-05,0.08453,8.452999999999999e-05,0.09825260000000001,,
STX,True,False,"[{'symbol': 'STXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",STXUSDT,-0.280624,0.0,0,initialized,1.451,0.001451,1.173,0.001173,1.453624,,
PNT,True,False,"[{'symbol': 'PNTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",PNTUSDT,-0.2617545000000001,0.017864199999999997,1,rebought,1.1578,0.0011578,0.8974,0.0008974,1.1591545,1.1571,0.0011571
DENT,True,False,"[{'symbol': 'DENTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DENTUSDT,-0.0008997389999999992,0.0,0,initialized,0.004815,4.815e-06,0.003924,3.924000000000001e-06,0.004823739,,
MBOX,True,False,"[{'symbol': 'MBOXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MBOXUSDT,-1.320614,0.0,0,initialized,5.962,0.005962,4.652,0.004652,5.972614,,
IOST,True,False,"[{'symbol': 'IOSTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",IOSTUSDT,-0.014533629999999999,0.0,0,initialized,0.06902,6.902e-05,0.05461,5.461e-05,0.06914363,,
CAKE,True,False,"[{'symbol': 'CAKEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CAKEUSDT,-2.5508300000000013,0.014640000000003539,1,rebought,22.65,0.02265,19.16,0.01916,21.71083,21.67,0.021670000000000002
ETHUP,True,False,"[{'symbol': 'ETHUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ETHUPUSDT,-26.23847,0.0,0,initialized,83.284,0.083284,57.186,0.057186,83.42447,,
OMG,True,False,"[{'symbol': 'OMGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",OMGUSDT,-1.0419610000000006,0.012847000000000719,1,rebought,9.061,0.009061,7.968,0.007968,9.009961,8.993,0.008993000000000001
BAND,True,False,"[{'symbol': 'BANDUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BANDUSDT,-1.7648520000000012,0.06151799999999952,4,rebought,9.3,0.0093,7.552,0.007552,9.316852,9.3,0.009300000000000001
SUN,True,False,"[{'symbol': 'SUNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SUNUSDT,-0.00731741,0.0,0,initialized,0.03733,3.733e-05,0.03008,3.008e-05,0.03739741,,
BTC,True,False,"[{'symbol': 'BTCUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTCUSDT,-5337.696609999999,18.491219999996247,2,rebought,48176.69,48.17669,42930.01,42.93001,48267.70661,48176.6,48.1766
TWT,True,False,"[{'symbol': 'TWTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",TWTUSDT,-0.24435479999999987,0.0,0,initialized,1.1985,0.0011985,0.9563,0.0009563000000000001,1.2006548,,
NKN,True,False,"[{'symbol': 'NKNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NKNUSDT,-0.07669399999999998,0.0,0,initialized,0.385,0.000385,0.309,0.00030900000000000003,0.385694,,
RSR,True,False,"[{'symbol': 'RSRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RSRUSDT,-0.00900966,0.0,0,initialized,0.0393,3.93e-05,0.03036,3.036e-05,0.03936966,,
IOTA,True,False,"[{'symbol': 'IOTAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",IOTAUSDT,-0.3303336000000001,0.0,0,initialized,1.6305,0.0016305,1.3031,0.0013031,1.6334336,,
CVC,True,False,"[{'symbol': 'CVCUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CVCUSDT,-0.1165352,0.0,0,initialized,0.5254,0.0005254,0.4098,0.0004098,0.5263352,,
REEF,True,False,"[{'symbol': 'REEFUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",REEFUSDT,-0.004381860000000001,0.0,0,initialized,0.0231,2.31e-05,0.01876,1.876e-05,0.02314186,,
BTG,True,False,"[{'symbol': 'BTGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTGUSDT,-12.040339999999993,0.0,0,initialized,66.13,0.06613,54.21,0.05421,66.25034,,
MIR,True,False,"[{'symbol': 'MIRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MIRUSDT,-0.6048239999999998,0.10484900000000064,7,rebought,3.715,0.003715,3.113,0.003113,3.717824,3.711,0.003711
KEY,True,False,"[{'symbol': 'KEYUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",KEYUSDT,-0.0010776579999999987,0.0,0,initialized,0.009359,9.359e-06,0.008299,8.299000000000001e-06,0.009376658,,
BTS,True,False,"[{'symbol': 'BTSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTSUSDT,-0.009173479999999998,0.0,0,initialized,0.05128,5.128e-05,0.0422,4.22e-05,0.05137348,,
BTT,True,False,"[{'symbol': 'BTTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTTUSDT,-0.0006332379999999995,0.0,0,initialized,0.003932,3.932e-06,0.003306,3.3059999999999998e-06,0.003939237999999999,,
ONE,True,False,"[{'symbol': 'ONEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONEUSDT,-0.040408780000000005,0.0,0,initialized,0.16445,0.00016445,0.12433,0.00012433,0.16473878,,
LINKDOWN,True,False,"[{'symbol': 'LINKDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LINKDOWNUSDT,0.010157820000000005,0.0,1,sold,0.02598,2.598e-05,0.04148,4.148e-05,0.026042179999999998,,
ONG,True,False,"[{'symbol': 'ONGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONGUSDT,-0.22144789999999992,0.0,0,initialized,1.1836,0.0011836,0.9643,0.0009643000000000001,1.1857479,,
ANKR,True,False,"[{'symbol': 'ANKRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ANKRUSDT,-0.01735668,0.0,0,initialized,0.09693,9.693e-05,0.07975,7.975e-05,0.09710668,,
SUSHI,True,False,"[{'symbol': 'SUSHIUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SUSHIUSDT,-2.4046380000000003,0.0,0,initialized,12.51,0.01251,10.128,0.010128,12.532638,,
ALGO,True,False,"[{'symbol': 'ALGOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ALGOUSDT,-0.5567979000000003,0.0,0,initialized,2.1255,0.0021255,1.5724,0.0015724,2.1291979000000003,,
SC,True,False,"[{'symbol': 'SCUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SCUSDT,-0.00374411,0.0,0,initialized,0.01891,1.891e-05,0.0152,1.52e-05,0.01894411,,
ONT,True,False,"[{'symbol': 'ONTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONTUSDT,-0.1741355000000001,0.0,0,initialized,1.0039,0.0010039,0.8316,0.0008316,1.0057355000000001,,
ASR,True,False,"[{'symbol': 'ASRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ASRUSDT,-1.3193099999999998,0.11434499999999836,4,rebought,8.326,0.008326,7.003,0.0070030000000000005,8.32231,8.307,0.008307
FIRO,True,False,"[{'symbol': 'FIROUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FIROUSDT,-1.422809,0.039509999999999934,2,rebought,7.609,0.007609,6.2,0.006200000000000001,7.622809,7.609,0.007609
MANA,True,False,"[{'symbol': 'MANAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MANAUSDT,-0.137305,0.0,0,initialized,0.8204,0.0008204,0.6846,0.0006846,0.821905,,
DOTUP,True,False,"[{'symbol': 'DOTUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOTUPUSDT,-4.968499999999999,0.19407599999999903,9,rebought,11.766,0.011766,6.775,0.006775000000000001,11.7435,11.725,0.011725
ATA,True,False,"[{'symbol': 'ATAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ATAUSDT,-0.2722686999999999,0.010347799999999907,1,rebought,1.2197,0.0012197,0.9493,0.0009493,1.2215687,1.2194,0.0012194
NMR,True,False,"[{'symbol': 'NMRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NMRUSDT,-6.727080000000001,0.0,0,initialized,46.86,0.04686,40.22,0.04022,46.94708,,
MKR,True,False,"[{'symbol': 'MKRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MKRUSDT,-435.308,1.2550000000001091,1,rebought,2869.0,2.869,2439.0,2.439,2874.308,2869.0,2.869
DODO,True,False,"[{'symbol': 'DODOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DODOUSDT,-0.18566899999999986,0.012963999999999976,1,rebought,1.51,0.00151,1.243,0.0012430000000000002,1.428669,1.426,0.001426
LIT,True,False,"[{'symbol': 'LITUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LITUSDT,-0.8749529999999996,0.021313000000001026,2,rebought,4.412,0.004412,3.543,0.003543,4.417953,4.41,0.00441
ICP,True,False,"[{'symbol': 'ICPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ICPUSDT,-12.0445,0.15378999999999365,7,rebought,58.24,0.05824,46.28,0.04628,58.3245,58.22,0.05822
ZEC,True,False,"[{'symbol': 'ZECUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ZECUSDT,-24.05720000000001,0.03740000000004784,2,rebought,140.5,0.1405,116.7,0.11670000000000001,140.7572,140.5,0.1405
ATM,True,False,"[{'symbol': 'ATMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ATMUSDT,-1.03857,0.09688999999999837,3,rebought,15.49,0.01549,13.78,0.013779999999999999,14.81857,14.79,0.01479
ICX,True,False,"[{'symbol': 'ICXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ICXUSDT,-0.38341400000000014,0.020379999999999843,2,rebought,1.898,0.001898,1.517,0.001517,1.900414,1.897,0.001897
ZEN,True,False,"[{'symbol': 'ZENUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ZENUSDT,-17.402309999999986,0.29123999999998773,5,rebought,94.79,0.09479,77.54,0.07754000000000001,94.94230999999999,94.77,0.09477
DOGE,True,False,"[{'symbol': 'DOGEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOGEUSDT,-0.0395433,0.0,0,initialized,0.2412,0.0002412,0.2021,0.0002021,0.2416433,,
DUSK,True,False,"[{'symbol': 'DUSKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DUSKUSDT,-0.020395700000000017,0.0,0,initialized,0.1579,0.0001579,0.1378,0.00013780000000000002,0.15819570000000002,,
